date,count,year,month,NAME,state,age_under_5,age_5_9,age_10_19,age_20_29,age_30_39,age_40_49,age_50_59,age_60_69,age_70_79,age_80_84,age_85_plus,total_population,age_60_69_ratio,Month,AvgTemp,MinTemp,MaxTemp,Precip,HeatingDegreeDays,CoolingDegreeDays,age_under_5_ratio,age_5_9_ratio,age_10_19_ratio,age_20_29_ratio,age_30_39_ratio,age_40_49_ratio,age_50_59_ratio,age_70_79_ratio,age_80_84_ratio,age_85_plus_ratio
2021-02-01,107.0,2021,2,Maine,23.0,61034.0,69073.0,149478.0,156639.0,174806.0,158475.0,194658.0,208309.0,139081.0,31632.0,11472.0,1372247.0,0.15180138852553512,"February, 2021",18.5,9.0,28.0,2.9,1198.0,,0.0444774155090155,0.050335690294823016,0.10892936912961004,0.11414781741187993,0.1273866876735748,0.11548576896141875,0.1418534709859085,0.10135274480468895,0.023051243690093693,0.008360010989275255
2021-03-01,141.0,2021,3,Maine,23.0,61034.0,69073.0,149478.0,156639.0,174806.0,158475.0,194658.0,208309.0,139081.0,31632.0,11472.0,1372247.0,0.15180138852553512,"March, 2021",29.4,18.1,40.7,1.98,1013.0,,0.0444774155090155,0.050335690294823016,0.10892936912961004,0.11414781741187993,0.1273866876735748,0.11548576896141875,0.1418534709859085,0.10135274480468895,0.023051243690093693,0.008360010989275255
2021-04-01,149.0,2021,4,Maine,23.0,61034.0,69073.0,149478.0,156639.0,174806.0,158475.0,194658.0,208309.0,139081.0,31632.0,11472.0,1372247.0,0.15180138852553512,"April, 2021",43.2,32.0,54.3,3.24,593.0,,0.0444774155090155,0.050335690294823016,0.10892936912961004,0.11414781741187993,0.1273866876735748,0.11548576896141875,0.1418534709859085,0.10135274480468895,0.023051243690093693,0.008360010989275255
2021-05-01,184.0,2021,5,Maine,23.0,61034.0,69073.0,149478.0,156639.0,174806.0,158475.0,194658.0,208309.0,139081.0,31632.0,11472.0,1372247.0,0.15180138852553512,"May, 2021",52.4,39.8,64.9,2.74,337.0,,0.0444774155090155,0.050335690294823016,0.10892936912961004,0.11414781741187993,0.1273866876735748,0.11548576896141875,0.1418534709859085,0.10135274480468895,0.023051243690093693,0.008360010989275255
2021-06-01,205.0,2021,6,Maine,23.0,61034.0,69073.0,149478.0,156639.0,174806.0,158475.0,194658.0,208309.0,139081.0,31632.0,11472.0,1372247.0,0.15180138852553512,"June, 2021",64.9,52.8,77.0,2.22,34.0,76.0,0.0444774155090155,0.050335690294823016,0.10892936912961004,0.11414781741187993,0.1273866876735748,0.11548576896141875,0.1418534709859085,0.10135274480468895,0.023051243690093693,0.008360010989275255
2021-07-01,191.0,2021,7,Maine,23.0,61034.0,69073.0,149478.0,156639.0,174806.0,158475.0,194658.0,208309.0,139081.0,31632.0,11472.0,1372247.0,0.15180138852553512,"July, 2021",63.6,53.9,73.4,5.46,57.0,62.0,0.0444774155090155,0.050335690294823016,0.10892936912961004,0.11414781741187993,0.1273866876735748,0.11548576896141875,0.1418534709859085,0.10135274480468895,0.023051243690093693,0.008360010989275255
2021-08-01,155.0,2021,8,Maine,23.0,61034.0,69073.0,149478.0,156639.0,174806.0,158475.0,194658.0,208309.0,139081.0,31632.0,11472.0,1372247.0,0.15180138852553512,"August, 2021",68.2,57.9,78.6,2.66,17.0,149.0,0.0444774155090155,0.050335690294823016,0.10892936912961004,0.11414781741187993,0.1273866876735748,0.11548576896141875,0.1418534709859085,0.10135274480468895,0.023051243690093693,0.008360010989275255
2021-09-01,175.0,2021,9,Maine,23.0,61034.0,69073.0,149478.0,156639.0,174806.0,158475.0,194658.0,208309.0,139081.0,31632.0,11472.0,1372247.0,0.15180138852553512,"September, 2021",59.0,48.9,69.1,6.46,135.0,17.0,0.0444774155090155,0.050335690294823016,0.10892936912961004,0.11414781741187993,0.1273866876735748,0.11548576896141875,0.1418534709859085,0.10135274480468895,0.023051243690093693,0.008360010989275255
2021-10-01,162.0,2021,10,Maine,23.0,61034.0,69073.0,149478.0,156639.0,174806.0,158475.0,194658.0,208309.0,139081.0,31632.0,11472.0,1372247.0,0.15180138852553512,"October, 2021",50.2,41.3,59.1,3.78,400.0,,0.0444774155090155,0.050335690294823016,0.10892936912961004,0.11414781741187993,0.1273866876735748,0.11548576896141875,0.1418534709859085,0.10135274480468895,0.023051243690093693,0.008360010989275255
2021-11-01,168.0,2021,11,Maine,23.0,61034.0,69073.0,149478.0,156639.0,174806.0,158475.0,194658.0,208309.0,139081.0,31632.0,11472.0,1372247.0,0.15180138852553512,"November, 2021",35.3,27.0,43.6,3.28,810.0,,0.0444774155090155,0.050335690294823016,0.10892936912961004,0.11414781741187993,0.1273866876735748,0.11548576896141875,0.1418534709859085,0.10135274480468895,0.023051243690093693,0.008360010989275255
